isbn,ncid,title,creators
323041,"http://ci.nii.ac.jp/ncid/BN08482647","緋文字 : 完訳","ホーソーン作 ; 八木敏雄訳"
323051,"http://ci.nii.ac.jp/ncid/BN00925325","エヴァンジェリン : 哀詩","ロングフェロー作 ; 齋藤悦子譯"
323051,"http://ci.nii.ac.jp/ncid/BN1513595X","エヴァンジェリン : 哀詩","ロングフェロー作 ; 齋藤悦子譯"
323061,"http://ci.nii.ac.jp/ncid/BA89862653","黒猫 ; モルグ街の殺人事件 : 他五篇","ポオ作 ; 中野好夫訳"
323061,"http://ci.nii.ac.jp/ncid/BN00274613","黒猫 ; モルグ街の殺人事件 : 他五篇","ポオ作 ; 中野好夫訳"
323071,"http://ci.nii.ac.jp/ncid/BN00274679","森の生活 : ウォールデン","ソーロー作 ; 神吉三郎訳"
323071,"http://ci.nii.ac.jp/ncid/BN13158342","森の生活 : ウォールデン","H.D.ソロー著 ; 飯田実訳"
323081,"http://ci.nii.ac.jp/ncid/BA68281506","白鯨","メルヴィル作 ; 八木敏雄訳"
323081,"http://ci.nii.ac.jp/ncid/BN0093843X","白鯨","メルヴィル作 ; 阿部知二訳"
323091,"http://ci.nii.ac.jp/ncid/BA34008426","草の葉","ホイットマン作 ; 酒本雅之訳"
323091,"http://ci.nii.ac.jp/ncid/BN01982175","草の葉 : ホイットマン詩集","ホイットマン [著] ; 杉木喬, 鍋島能弘, 酒本雅之訳"
323111,"http://ci.nii.ac.jp/ncid/BA44552063","不思議な少年","マーク・トウェイン作 ; 中野好夫訳"
323111,"http://ci.nii.ac.jp/ncid/BN01982211","不思議な少年","マーク・トウェイン作 ; 中野好夫訳"
323113,"http://ci.nii.ac.jp/ncid/BA89862802","人間とは何か","マーク・トウェイン著 ; 中野好夫訳"
323113,"http://ci.nii.ac.jp/ncid/BN00954957","人間とは何か","マーク・トウェイン著 ; 中野好夫訳"
323151,"http://ci.nii.ac.jp/ncid/BA33745611","荒野の呼び声","ジャック・ロンドン作 ; 海保眞夫訳"
323151,"http://ci.nii.ac.jp/ncid/BN00937594","荒野の呼び声","ジャック・ロンドン作 ; 岩田欣三訳"
323264,"http://ci.nii.ac.jp/ncid/BN03997537","ヘミングウェイ短篇集","谷口陸男編訳"
323264,"http://ci.nii.ac.jp/ncid/BN08691272","ヘミングウェイ短篇集","谷口陸男編訳"
323281,"http://ci.nii.ac.jp/ncid/BB00650153","ブラック・ボーイ : ある幼少期の記録","リチャード・ライト作 ; 野崎孝訳"
323281,"http://ci.nii.ac.jp/ncid/BN02498939","ブラック・ボーイ : ある幼少期の記録","リチャード・ライト作 ; 野崎孝訳"
324051,"http://ci.nii.ac.jp/ncid/BB02987635","若きウェルテルの悩み","ゲーテ作 ; 竹山道雄訳"
324051,"http://ci.nii.ac.jp/ncid/BN00398456","若きウェルテルの悩み","ゲーテ作 ; 竹山道雄訳"
324052,"http://ci.nii.ac.jp/ncid/BA44758852","ヴィルヘルム・マイスターの修業時代","ゲーテ作 ; 山崎章甫訳"
324052,"http://ci.nii.ac.jp/ncid/BN01041971","ヴィルヘルム・マイステルの徒弟時代","ゲーテ作 ; 小宮豐隆譯"
324056,"http://ci.nii.ac.jp/ncid/BA55496565","ヴィルヘルム・マイスターの遍歴時代","ゲーテ作 ; 山崎章甫訳"
324056,"http://ci.nii.ac.jp/ncid/BN01987882","ウィルヘルム・マイステルの遍歴時代","ゲーテ作 ; 関泰祐訳"
324059,"http://ci.nii.ac.jp/ncid/BA81516433","イタリア紀行","ゲーテ著 ; 相良守峯訳"
324059,"http://ci.nii.ac.jp/ncid/BN01028871","イタリア紀行","ゲーテ著 ; 相良守峯訳"
324091,"http://ci.nii.ac.jp/ncid/BB11264956","ゲーテとの対話","エッカーマン著 ; 山下肇訳"
324091,"http://ci.nii.ac.jp/ncid/BN01024134","ゲーテとの対話","エッカーマン著 ; 山下肇訳"
